단원번호,대단원명,중단원번호,중단원명,소단원번호,소단원명
1,화학반응의 규칙과 에너지 출입,1,물질의 변화,1,물리변화와 화학변화
,,,,2,화학 반응과 화학 반응식
,,2,화학 반응의 규칙과 에너지 출입,1,질량 보존 법칙
,,,,2,일정 성분비 법칙
,,,,3,기체사이 반응과 화학반응에서의 에너지 변화
2,기권과 날씨,1,기권과 지구 기온,1,기권의 층상구조
,,,,2,지구의 복사 평형
,,2,대기 중의 물,1,대기 중의 수증기
,,,,2,습도
,,,,3,구름과 강수
,,3,기압과 날씨 변화,1,기압과 바람
,,,,2,기단과 전선
,,,,3,날씨와 일기도
3,운동과 에너지,1,운동,1,운동의 표현
,,,,2,등속 운동
,,,,3,자유 낙하 운동
,,2,일과 에너지 전환,1,일과 에너지
,,,,2,위치 에너지와 운동 에너지
4,자극과 반응,1,감각 기관,1,눈과 귀
,,,,2,"코, 혀, 피부"
,,2,신경계와 호르몬,1,신경계의 구성과 기능
,,,,2,호르몬과 항상성
5,생식과 유전,1,생식과 발생,1,염색체
,,,,2,체세포 분열
,,,,3,생식세포 분열
,,,,4,사람의 발생
,,2,유전,1,멘델의 유전 원리와 중간 유전
,,,,2,사람의 유전
6,에너지 전환과 보존,1,역학적 에너지 전환과 보존,1,역학적 에너지
,,2,전기 에너지의 발생과 전환,1,전기 에너지
,,,,2,전기 에너지의 발생과 전환
7,별과 우주,1,별,1,연주 시차와 별의 거리
,,,,2,별의 성질
,,2,은하와 우주,1,우리 은하와  팽창하는 우주
,,,,2,우주 개발과 탐사
8,과학기술과 인류문명,1,과학기술과 인류문명,1,과학기술과 인류문명
