단원번호,대단원명,중단원번호,중단원명,소단원번호,소단원명
1,물질의 특성,1,물질의 특성(1),1,물질의 특성
,,,,2,밀도
,,2,물질의 특성(2),1,용해도
,,,,2,녹는점과 끓는점
,,3,혼합물의 분리(1),1,순물질과 혼합물
,,,,2,밀도 차
,,4,혼합물의 분리(2),1,용해도 차
,,,,2,"끓는점, 녹는점 차"
,,,,3,여러가지 혼합물의 분리
2,지권의 변화,1,지권의 구성,1,지구계
,,,,2,지권의 층상구조
,,,,3,지각을 구성하는 광물
,,2,암석의 종류와 순환,1,암석의 분류
,,,,2,화성암
,,,,3,퇴적암
,,,,4,변성암
,,,,5,암석의 순환
,,,,6,암석의 풍화
,,,,7,토양
,,3,대륙이동과 판의 경계,1,대륙 이동설
,,,,2,판의 이동과 경계
,,,,3,화산대와 지진대
3,빛과 파동,1,물체를 보는 과정과 상,1,물체를 보는 과정
,,,,2,평면 거울에 보이는 상
,,,,3,구면 거울에 의한 상
,,,,4,렌즈에 의한 상
,,2,물체의 색과 빛의 합성,1,물체의 색
,,,,2,빛의 합성
,,3,파동과 소리,1,파동의 발생과 전달
,,,,2,소리의 특성
4,물질의 구성,1,원소와 화합물,1,원소와 화합물
,,,,2,원소기호와 화학식
,,,,3,다양한 원소의 종류
,,,,4,주기율표
,,2,물질의 구성 입자,1,물질을 이루는 입자
,,,,2,전하를 띠는 이온
5,식물과 에너지,1,광합성,1,광합성
,,,,2,광합성에 영향을 미치는 환경요인
,,2,식물의 호흡,1,식물의 호흡
,,,,2,광합성과 호흡의 관계
,,,,3,광합성 양분의 이용과 저장
6,동물과 에너지,1,소화,1,영양소
,,,,2,소화
,,,,3,영양소의 흡수
,,2,순환,1,심장과 혈관
,,,,2,혈액
,,3,호흡,1,호흡계
,,,,2,호흡운동
,,,,3,기체교환
,,4,배설,1,노폐물과 배설
,,,,2,배설계
,,,,3,세포호흡과 기관계
7,전기와 자기,1,전기의 발생,1,마찰전기
,,,,2,정전기 유도
,,2,전기회로와 에너지,1,"전류, 전압, 저항"
,,,,2,저항의 연결
,,,,3,전기에너지의 전환과 소비전력
,,3,전류의 자기작용,1,전류가 흐르는 코일 주위 자기장
,,,,2,전류가 흐르는 코일이 받는 힘
8,별과 우주,1,별까지의 거리,1,연주시차와 별까지의 거리
,,2,별의 특성,1,별의 밝기
,,,,2,별의 등급과 거리
,,,,3,별의 색과 표면온도
,,3,우리은하와 우주 탐사,1,우리은하
,,,,2,성운과 성단
,,,,3,우주팽창
,,,,4,우주탐사
